"Sample Site Name","Long","Lat","Alt.m"
"TORONTO (RPB)",-79.39611111,43.6275,76.8
"TORREON (RENIP)",-103.41608,25.52014,1124
"TROIS-RIVIERES (RPB)",-72.51611111,46.35361,6
"TUCUMAN",-65.2166666666667,-26.8166666666667,430
"TULANCINGO (RENIP)",-98.357719,20.084183,2205
"TUXTLA GUTIERREZ (RENIP)",-93.1,16.75,522
"UNION (CASTRIES)",-60.960778,14.021777,19
"USHUAIA",-68.28,-54.78,10
"VANCOUVER (RPB)",-123.0172222,49.19472222,4.3
"VERACRUZ (RENIP)",-96.13,19.2,16
"VIACHA (IBTEN)",-68.282326,-16.659181,3866
"VILLAHERMOSA (RENIP)",-92.91666667,17.98333333,20
"VINELAND (RPB)",-81.15,43.03333333,278
"VINTO (EST. POTREROS)",-65.807026,-17.509853,2813
"WALLINGFORD",-1.1,51.6,48
"WATERLOO (IT2)",-80.55236111,43.50041667,353
"WHITEHORSE (RPB)",-135.0672222,60.70944444,706.2
"WINDHOEK",17.086144,-22.553248,1688.592
"WINNIPEG (RPB)",-97.24944444,49.91666667,238.7
"XALAPA",-96.91,19.53,1390
"YANGIYUL",69.01770833,41.08190278,341
"YELLOWKNIFE (RPB)",-114.27,62.28,205
